id,name,graduation_year,degree,department,current_company,current_position,current_team,location,email,linkedin_url,skills,industry,seniority_level,hiring_authority,response_rate,referral_success_rate,bio
alumni_001,Arjun Sharma,2020,B.Tech Computer Science,Computer Science,Google,Software Engineer II,Search Infrastructure,"Mountain View, CA",arjun.sharma@gmail.com,https://linkedin.com/in/arjunsharma,"Python,Java,Kubernetes,Machine Learning,React",Technology,mid,false,0.85,0.65,"Passionate software engineer with 4+ years experience in distributed systems and ML infrastructure at Google"
alumni_002,Priya Patel,2019,B.Tech Computer Science,Computer Science,Microsoft,Senior Software Engineer,Azure ML Platform,"Seattle, WA",priya.patel@outlook.com,https://linkedin.com/in/priyapatel,"C#,Python,Azure,Machine Learning,Docker,TypeScript",Technology,senior,true,0.90,0.80,"Senior engineer leading ML platform development at Microsoft Azure with expertise in cloud architecture"
alumni_003,Rohit Kumar,2021,B.Tech Data Science,Data Science,Netflix,Data Scientist,Recommendation Systems,"Los Gatos, CA",rohit.kumar@netflix.com,https://linkedin.com/in/rohitkumar,"Python,SQL,TensorFlow,Spark,Machine Learning,A/B Testing",Technology,mid,false,0.75,0.55,"Data scientist working on recommendation algorithms and personalization systems at Netflix"
alumni_004,Sneha Reddy,2018,MBA Business Administration,Business Administration,Amazon,Senior Product Manager,Prime Video,"Seattle, WA",sneha.reddy@amazon.com,https://linkedin.com/in/snehareddy,"Product Management,SQL,Data Analysis,Agile,Strategy",Technology,senior,true,0.88,0.72,"Product manager driving growth initiatives for Prime Video with 6+ years experience in tech products"
alumni_005,Vikram Singh,2017,B.Tech Computer Science,Computer Science,Meta,Staff Software Engineer,Instagram Backend,"Menlo Park, CA",vikram.singh@meta.com,https://linkedin.com/in/vikramsingh,"Python,React,GraphQL,PostgreSQL,Redis,System Design",Technology,senior,true,0.70,0.78,"Staff engineer architecting Instagram's backend systems with expertise in high-scale distributed systems"
alumni_006,Anita Gupta,2020,B.Tech Electrical Engineering,Electrical Engineering,Tesla,Software Engineer,Autopilot AI,"Palo Alto, CA",anita.gupta@tesla.com,https://linkedin.com/in/anitagupta,"C++,Python,Computer Vision,ROS,Machine Learning,CUDA",Automotive,mid,false,0.65,0.60,"Software engineer working on autonomous driving technology and computer vision systems at Tesla"
alumni_007,Karan Joshi,2019,B.Tech Computer Science,Computer Science,Airbnb,Senior Software Engineer,Search & Discovery,"San Francisco, CA",karan.joshi@airbnb.com,https://linkedin.com/in/karanjoshi,"Python,React,Node.js,Elasticsearch,Machine Learning,PostgreSQL",Technology,senior,false,0.82,0.68,"Senior engineer building search and discovery systems at Airbnb with focus on ML-powered recommendations"
alumni_008,Kavya Nair,2016,B.Tech Computer Science,Computer Science,Apple,Principal Engineer,iOS Platform,"Cupertino, CA",kavya.nair@apple.com,https://linkedin.com/in/kavyanair,"Swift,Objective-C,iOS,System Design,Performance Optimization",Technology,executive,true,0.60,0.85,"Principal engineer leading iOS platform development with 8+ years experience in mobile systems"
alumni_009,Rajesh Agarwal,2021,B.Tech Data Science,Data Science,Spotify,Data Scientist,Music Intelligence,"New York, NY",rajesh.agarwal@spotify.com,https://linkedin.com/in/rajeshagarwal,"Python,SQL,Machine Learning,Spark,Kafka,Music IR",Technology,mid,false,0.80,0.58,"Data scientist working on music recommendation and audio analysis systems at Spotify"
alumni_010,Deepika Singh,2018,B.Tech Computer Science,Computer Science,Uber,Senior Software Engineer,Maps & Navigation,"San Francisco, CA",deepika.singh@uber.com,https://linkedin.com/in/deepikasingh,"Java,Python,React,Microservices,Kafka,Redis",Technology,senior,true,0.85,0.75,"Senior engineer building mapping and navigation systems at Uber with expertise in real-time data processing"
